Employee ID,First Name,Last Name,Department,Job Title,Hire Date,Performance Rating,Employment Status,Email,Salary EUR,Leave Date,Leave Reason
21119712,Jennifer,Carr,Retail Banking,Personal Banker,2023-08-02,Excellent,Resigned,john68@lozano.biz,3065.53,2024-08-31,Voluntary
8908483,Stacy,Johnson,Investment Banking,Analyst,2023-01-31,Excellent,On Leave,wagnercarolyn@olson.com,2364.52,,
18324693,Phillip,Ruiz,Finance,Finance Manager,2019-12-02,Excellent,Resigned,cainfrancisco@campbell.com,3523.23,2020-11-14,Voluntary
58635148,Paul,Miles,Operations,Process Improvement Lead,2012-06-02,Satisfactory,On Leave,ocarney@yates.com,3033.47,,
36674749,Jeremiah,Goodman,IT,IT Support,2012-11-15,Excellent,Active,michellecurtis@osborn-ross.com,1947.41,,
27210499,Peter,Watkins,Compliance,Compliance Manager,2014-02-08,Satisfactory,On Leave,sreyes@tyler-livingston.com,5459.16,,
36228812,Brent,Taylor,HR,Recruiter,2020-04-10,Needs Improvement,Resigned,abbottrobert@ortega.com,2320.72,2024-10-20,Voluntary
76102868,Colleen,Riley,HR,Recruiter,2012-11-11,Excellent,Resigned,amandasummers@dunlap.com,3132.31,2015-06-14,Involuntary
42694052,Bob,Bush,Risk Management,Risk Analyst,2013-06-24,Good,Resigned,samanthasteele@shields.com,4778.88,2014-06-12,Involuntary
79298315,Ashley,Miller,Corporate Banking,Relationship Manager,2012-01-01,Good,Resigned,jacksonmelissa@wallace-carter.org,3896.48,2012-03-08,Involuntary
16039285,Robin,Koch,IT,IT Support,2012-11-10,Needs Improvement,Active,randall40@fischer.org,4376.53,,
62987813,Dennis,Perez,Finance,Financial Analyst,2023-11-29,Excellent,Resigned,alfredbrown@butler.com,3650.63,2024-05-20,Involuntary
30763579,Bryan,Wall,Corporate Banking,Account Manager,2018-07-19,Good,Resigned,tiffany07@bauer.com,3623.57,2021-03-04,Involuntary
47486973,Kristin,Cook,Risk Management,Risk Analyst,2024-09-12,Good,Resigned,nicole45@brown.org,4536.58,2026-12-04,Voluntary
78988262,Linda,James,Corporate Banking,Relationship Manager,2015-02-12,Excellent,Resigned,garcianicholas@grant-rogers.info,5457.04,2017-09-01,Voluntary
38928116,Logan,Hall,Finance,Finance Manager,2017-03-02,Excellent,Resigned,blloyd@owen.com,4872.35,2018-04-01,Voluntary
5520985,Nicole,Wong,IT,IT Manager,2013-10-29,Excellent,Resigned,jerry05@hubbard.com,3419.28,2017-04-07,Involuntary
92866164,Brooke,Medina,Operations,Process Improvement Lead,2017-07-09,Satisfactory,Resigned,pbeck@ball.com,3170.51,2022-03-17,Involuntary
61375154,Sarah,Harris,Investment Banking,Associate,2011-06-09,Needs Improvement,Resigned,alan87@richardson-ellis.biz,2809.22,2016-02-12,Voluntary
51882860,Kelsey,Figueroa,Corporate Banking,Account Manager,2011-11-11,Good,Active,michael13@lucas-york.biz,4696.4,,
50309771,Brian,Thomas,IT,Systems Analyst,2019-06-24,Good,Active,umiles@wells-weber.info,1662.75,,
42400080,Tara,Ward,Finance,Accountant,2023-01-28,Satisfactory,Resigned,davispamela@ford.com,3841.35,2025-06-23,Involuntary
35275565,Jamie,Mcbride,Investment Banking,Analyst,2014-06-01,Needs Improvement,Resigned,jamieharvey@larson.com,1479.3,2014-08-01,Involuntary
87215182,Tracy,Sanchez,Risk Management,Risk Analyst,2016-05-12,Excellent,Resigned,uwhitaker@palmer.com,4606.42,2017-10-18,Voluntary
76481222,Tiffany,Martinez,Risk Management,Risk Analyst,2024-12-22,Excellent,Resigned,reedruben@miller-vasquez.com,2427.16,2027-08-15,Voluntary
2796857,Max,Malone,Retail Banking,Personal Banker,2025-03-23,Needs Improvement,Resigned,joshuafitzgerald@king-russell.info,4525.55,2029-10-19,Involuntary
78063051,Crystal,Cross,HR,HR Manager,2019-01-04,Needs Improvement,On Leave,sandy76@roman-boyd.org,2816.21,,
76276774,Jeremy,Rodriguez,Operations,Operations Manager,2012-11-06,Excellent,On Leave,sanchezclaire@cochran-meyers.com,2530.6,,
32907193,Shawn,Hunter,IT,IT Manager,2018-08-08,Satisfactory,Active,bernardandrew@kaiser.biz,4118.57,,
11782957,Tammie,Johnson,Risk Management,Risk Manager,2020-06-17,Excellent,On Leave,osbornebriana@stevenson.net,4157.4,,
92571242,Julia,Chan,IT,Systems Analyst,2022-05-18,Satisfactory,On Leave,donaldgarcia@byrd.net,2319.2,,
99821968,Bryan,Thompson,Compliance,Compliance Manager,2011-07-14,Excellent,On Leave,qbanks@pineda.net,2200.33,,
79958936,Timothy,Mcgee,IT,IT Support,2015-04-05,Satisfactory,On Leave,dlopez@flores-frazier.com,3775.84,,
93599320,Andrew,Irwin,Investment Banking,Associate,2012-08-12,Good,Active,rhodessandra@daniels.biz,3025.61,,
53809124,Benjamin,Wilson,Retail Banking,Personal Banker,2022-01-10,Good,On Leave,kmanning@mills-ellison.org,2872.37,,
55771559,Ariana,Davidson,Retail Banking,Personal Banker,2013-04-17,Needs Improvement,Active,yvonne43@peterson.biz,3976.01,,
86051255,Laura,Smith,Retail Banking,Teller,2019-10-26,Excellent,Resigned,hkhan@fitzpatrick-lewis.com,4547.46,2022-02-07,Involuntary
93008631,Peter,Whitaker,HR,HR Assistant,2023-12-07,Excellent,Resigned,smithheidi@hill-gonzalez.biz,1131.39,2024-12-25,Voluntary
72583760,Charles,Morgan,Investment Banking,Associate,2019-07-05,Needs Improvement,Resigned,carrjuan@reyes-swanson.com,3255.0,2020-09-24,Involuntary
2703398,Keith,Walker,Corporate Banking,Relationship Manager,2016-05-11,Good,Resigned,rogersjeff@brown-johnson.com,4106.55,2017-12-26,Involuntary
53780058,Melissa,Cross,Operations,Process Improvement Lead,2022-02-04,Good,On Leave,sheri66@lee.net,1300.49,,
34012598,Kimberly,Jackson,Risk Management,Risk Analyst,2011-09-27,Excellent,On Leave,kellyjensen@graham.com,1930.42,,
69836671,Kenneth,Perkins,IT,IT Support,2025-08-07,Needs Improvement,On Leave,richardsondaniel@forbes.com,1000.51,,
40428758,Connie,Joseph,Operations,Process Improvement Lead,2022-10-27,Needs Improvement,On Leave,david56@brooks-harvey.info,2592.56,,
17895514,Sarah,Neal,HR,HR Assistant,2014-12-28,Excellent,Active,cherylwilliams@liu.com,1674.6,,
50936700,Ricky,Cortez,Risk Management,Chief Risk Officer,2013-01-24,Needs Improvement,On Leave,ryanporter@stephenson.org,1107.9,,
34475270,Ann,Lopez,Finance,Finance Manager,2018-08-25,Good,Active,maria36@johnson-cole.com,3856.56,,
27495056,Louis,Lawson,Corporate Banking,Account Manager,2022-06-25,Needs Improvement,Resigned,wagnerariel@bryant.info,1856.3,2026-06-08,Voluntary
86476683,Steven,Olson,Corporate Banking,Account Manager,2018-10-31,Good,Resigned,williamsbruce@campbell-burns.com,5422.24,2020-05-11,Voluntary
84450111,Crystal,Brown,Retail Banking,Personal Banker,2013-10-11,Satisfactory,On Leave,tonyataylor@butler.biz,2934.68,,
69396670,Tyrone,Turner,Compliance,Compliance Manager,2022-08-29,Excellent,Active,kmendez@perez.net,2455.83,,
66817949,Jerry,Moran,Operations,Operations Analyst,2024-02-25,Satisfactory,Active,pnelson@hall-davenport.com,3596.16,,
72249130,Rachel,Williamson,Retail Banking,Branch Manager,2023-09-04,Needs Improvement,Resigned,wallshannon@drake-ashley.info,1875.79,2024-09-23,Voluntary
59619246,Heather,Larson,Compliance,AML Analyst,2018-06-22,Needs Improvement,Resigned,robert10@mcmahon-mason.com,1112.25,2023-01-29,Voluntary
17620055,Judith,Bradley,Finance,Financial Analyst,2012-10-01,Good,Resigned,reedjoseph@roman.biz,2224.39,2017-03-08,Voluntary
65279175,Justin,Miller,Operations,Operations Manager,2012-02-26,Needs Improvement,Resigned,fwatkins@campos.com,1068.35,2014-04-06,Involuntary
50806157,Barbara,Torres,Investment Banking,Analyst,2011-12-01,Excellent,Resigned,william87@lee-thompson.net,3468.45,2016-10-19,Voluntary
53919144,Teresa,Lane,Compliance,Compliance Officer,2012-02-29,Good,Active,danielkirby@douglas.com,5417.26,,
77011527,Carrie,Campbell,Compliance,Compliance Officer,2019-03-27,Excellent,Resigned,traceywells@white-stanley.info,4564.01,2020-09-02,Involuntary
10299081,Lisa,Rodriguez,Finance,Financial Analyst,2015-06-13,Needs Improvement,Active,garyobrien@lucero-gonzalez.biz,3859.15,,
87558685,Gregory,Montgomery,HR,Recruiter,2012-06-18,Satisfactory,Resigned,amanda19@martin.net,5308.11,2012-12-16,Involuntary
78714984,Lauren,Brock,Compliance,AML Analyst,2011-07-16,Satisfactory,Resigned,teresa12@cortez-scott.com,4868.01,2012-03-21,Voluntary
76536229,Nicholas,Norris,IT,Systems Analyst,2011-06-06,Satisfactory,Active,ibrown@osborne.info,5003.33,,
12958900,Luke,Martinez,Risk Management,Risk Analyst,2019-08-11,Excellent,Active,vjohnson@sanchez.info,1049.16,,
23193666,Barbara,Campbell,HR,HR Manager,2018-03-15,Excellent,On Leave,melinda39@benson.org,2092.01,,
88273341,Latoya,Brown,Finance,Accountant,2022-01-12,Satisfactory,On Leave,kgutierrez@hill-miller.com,3926.72,,
35291428,Bobby,Hopkins,Operations,Process Improvement Lead,2010-09-08,Good,Active,jacobsondaniel@ramos-townsend.com,4513.74,,
99736644,Paul,Roberts,Risk Management,Risk Manager,2017-12-14,Good,On Leave,jacqueline94@hopkins.net,2467.98,,
2409313,Nathaniel,Richards,IT,IT Manager,2020-08-31,Excellent,Active,allenedward@martin.com,3454.2,,
10540787,Daniel,Fisher,Investment Banking,Analyst,2019-01-20,Excellent,Active,ingramerik@brown.com,1523.04,,
4602859,David,Cook,HR,HR Assistant,2025-02-10,Excellent,On Leave,johnsonjon@randall.com,3993.36,,
79860987,Susan,Davis,HR,HR Assistant,2019-04-10,Needs Improvement,Active,caseybrent@smith-harris.biz,4559.16,,
95380056,Wayne,Soto,Risk Management,Risk Manager,2019-06-13,Satisfactory,Active,hannah86@hernandez.com,2284.3,,
10277195,Margaret,Mendoza,Risk Management,Chief Risk Officer,2023-11-18,Good,Active,alexiscopeland@ibarra-smith.biz,1877.29,,
31512848,Phillip,Davis,Finance,Accountant,2023-01-17,Satisfactory,On Leave,mcclurelaura@lucas.biz,3634.06,,
95824871,Garrett,Wilcox,Investment Banking,Associate,2024-01-24,Satisfactory,On Leave,dhaynes@wallace.biz,2411.75,,
73985709,Travis,Cooley,Operations,Process Improvement Lead,2017-07-28,Needs Improvement,Active,gcarter@moore.com,3204.12,,
49299694,Erik,Davis,Compliance,AML Analyst,2010-10-14,Excellent,Resigned,fjohnson@dorsey.net,2926.33,2011-01-27,Involuntary
93789905,Jeffrey,Ford,Risk Management,Risk Analyst,2015-03-27,Good,Resigned,taylorkeith@bell.biz,1211.15,2016-06-21,Voluntary
32234534,Erin,Townsend,Risk Management,Chief Risk Officer,2014-01-30,Good,On Leave,timothyharris@moore.com,3052.41,,
2289526,Lydia,Stout,Operations,Operations Analyst,2014-07-14,Good,Resigned,yodermiguel@riley.com,3423.63,2016-03-10,Voluntary
47862722,John,Allen,Operations,Operations Manager,2017-05-20,Excellent,Active,hilljacob@stuart.biz,2867.66,,
60863393,Jeffrey,Bowers,Finance,Finance Manager,2023-08-16,Needs Improvement,Resigned,batestyler@price.com,1622.01,2028-03-14,Involuntary
88052649,Edward,Liu,Compliance,AML Analyst,2014-04-13,Good,Active,qweiss@ramirez.net,4231.04,,
38305832,Robert,Smith,Risk Management,Risk Manager,2010-12-09,Needs Improvement,Resigned,donaldrandall@le-kim.biz,3997.28,2015-05-04,Voluntary
11947684,Heather,Williams,Finance,Finance Manager,2015-03-14,Excellent,Resigned,paulgonzalez@monroe-davis.biz,5242.3,2018-08-25,Voluntary
54029804,Christopher,Taylor,Corporate Banking,Account Manager,2022-07-08,Good,Active,timothy08@beard.biz,1251.27,,
54865273,Andrea,Diaz,Risk Management,Risk Manager,2021-08-31,Good,Resigned,jennifernixon@fox.com,4534.39,2025-09-09,Involuntary
16194373,Angela,Williams,Operations,Operations Analyst,2018-10-16,Satisfactory,Active,nicole33@jackson.com,1046.89,,
54343887,Lisa,Rodriguez,Finance,Accountant,2024-09-16,Satisfactory,Resigned,bridgeslori@castro-holden.com,2307.98,2029-05-10,Involuntary
79580649,Rebecca,Hudson,Finance,Accountant,2017-06-11,Excellent,Resigned,ohiggins@parks.com,3126.11,2021-12-15,Voluntary
31600361,Robert,Richmond,HR,HR Assistant,2024-04-26,Satisfactory,On Leave,jacksonjeffrey@harris-munoz.com,2399.46,,
2512532,Brittany,Benitez,HR,Recruiter,2022-08-31,Good,Resigned,jonathan01@solis.info,5436.42,2027-02-13,Voluntary
71042183,Gary,Baker,Finance,Accountant,2012-05-14,Needs Improvement,Resigned,gonzalesrachel@lopez.com,1155.84,2014-04-06,Voluntary
98716180,Rebecca,Rivera,Operations,Process Improvement Lead,2023-02-20,Needs Improvement,Active,sherry65@ramirez.com,1045.69,,
40247847,Joanne,Vasquez,IT,IT Manager,2013-07-11,Needs Improvement,Resigned,spearsmelanie@mills.net,3908.68,2016-07-09,Voluntary
63068221,Joshua,Bailey,Finance,Finance Manager,2022-06-23,Satisfactory,Active,rrivers@rogers.com,4982.37,,
84476654,Karen,Petty,Retail Banking,Personal Banker,2021-03-22,Satisfactory,On Leave,morganjohnson@werner-sampson.com,3590.95,,
12606788,David,Petersen,Investment Banking,Analyst,2013-03-15,Satisfactory,On Leave,kaylalong@gates.com,5097.22,,
38304057,Dorothy,Williamson,Finance,Financial Analyst,2015-09-05,Satisfactory,On Leave,ericksonerin@brown.com,4184.87,,
55221429,Katherine,Munoz,Finance,Finance Manager,2011-03-20,Satisfactory,Active,trevorserrano@merritt-wells.com,5182.36,,
5255627,Angela,Newman,Finance,Finance Manager,2019-12-26,Good,Active,jcarlson@garrett.com,2754.82,,
3945063,Teresa,Vargas,Compliance,Compliance Manager,2012-04-02,Needs Improvement,On Leave,jessicawyatt@cochran.com,3758.77,,
45324031,Christine,Merritt,Compliance,AML Analyst,2020-03-08,Needs Improvement,On Leave,apark@gonzalez.com,2462.16,,
8418708,Megan,Collins,Risk Management,Chief Risk Officer,2015-04-16,Satisfactory,Active,claytonjames@salazar.com,1464.38,,
62455350,Matthew,Smith,Compliance,Compliance Manager,2016-12-23,Good,Resigned,brownzachary@huffman-gonzalez.biz,3671.46,2020-08-28,Involuntary
57794822,Andrew,English,IT,IT Manager,2012-09-24,Satisfactory,Active,brownemily@gonzalez-williams.info,2335.49,,
37691837,Walter,Thomas,Retail Banking,Branch Manager,2011-05-15,Needs Improvement,Active,cgray@hoffman.com,3834.98,,
93987905,Jacqueline,Crosby,Retail Banking,Teller,2015-10-20,Satisfactory,On Leave,lindaduncan@bailey.com,2188.08,,
59872474,Jessica,Sanchez,Finance,Accountant,2023-12-07,Excellent,On Leave,crystalbarrett@baird.com,2221.97,,
75104238,Jason,Henry,Risk Management,Risk Manager,2019-08-26,Good,Active,ktownsend@brown.info,1881.57,,
73146094,Timothy,Miller,Operations,Operations Manager,2024-03-06,Satisfactory,Resigned,grussell@allen-gutierrez.com,1811.47,2028-05-22,Voluntary
86105873,Pamela,Kelly,Operations,Process Improvement Lead,2012-03-26,Satisfactory,Active,castanedakimberly@anderson.info,4137.31,,
87454109,Tina,Rose,Finance,Finance Manager,2019-11-14,Satisfactory,Active,mcox@anderson.net,4048.25,,
3970867,Julie,Dodson,Corporate Banking,Account Manager,2025-04-22,Good,Resigned,lguerrero@armstrong.com,1818.49,2029-11-10,Voluntary
30901001,Gregory,Solis,HR,HR Assistant,2014-05-03,Needs Improvement,On Leave,gpeters@gibson.org,2796.73,,
14644290,Patricia,Chaney,Risk Management,Risk Analyst,2012-12-22,Satisfactory,Active,brownjessica@nelson-wood.com,3529.31,,
30260795,Kathy,Burns,Investment Banking,Associate,2018-08-22,Excellent,On Leave,smithronald@rice-gay.com,3683.54,,
13883218,Bruce,Jones,Finance,Accountant,2021-02-04,Satisfactory,Resigned,wjohnston@carroll.com,5379.13,2023-05-07,Voluntary
69547294,William,Hudson,IT,Systems Analyst,2018-06-23,Needs Improvement,On Leave,kathleennicholson@reed-chan.com,1777.88,,
30896390,Linda,Williams,Risk Management,Risk Manager,2019-09-25,Satisfactory,Active,alisonkerr@bradshaw-price.info,3170.66,,
62624480,Craig,Raymond,Investment Banking,Analyst,2014-03-27,Excellent,Resigned,hannah53@holt.net,2277.75,2018-07-30,Voluntary
62804325,Michael,Kelly,Finance,Accountant,2022-06-25,Good,Active,fmontgomery@wood.com,4158.08,,
75933074,Brittany,Little,Finance,Financial Analyst,2014-03-04,Needs Improvement,Resigned,kellysingleton@boyd.net,4143.07,2015-09-30,Involuntary
6376901,Phillip,Patrick,IT,IT Manager,2017-03-22,Needs Improvement,Resigned,shelia34@todd.com,2377.44,2021-10-07,Voluntary
11964070,Steven,Bennett,Operations,Operations Manager,2018-05-16,Satisfactory,On Leave,timothy83@baldwin-hernandez.info,2545.24,,
86884549,Steven,Torres,Corporate Banking,Relationship Manager,2010-11-24,Excellent,Resigned,goodmanashley@kirk.com,1244.68,2011-11-24,Involuntary
3466186,Jennifer,Young,Finance,Finance Manager,2011-11-19,Good,Resigned,murraysandra@burns.com,5366.49,2014-11-22,Involuntary
66675587,Derek,Mccoy,HR,HR Assistant,2013-04-01,Needs Improvement,Active,houstonamanda@turner-schmidt.com,2487.71,,
55261777,Jessica,Harmon,Finance,Finance Manager,2018-09-06,Excellent,Active,modonnell@sharp-arnold.com,2065.61,,
72390108,Henry,Lane,Operations,Operations Manager,2023-06-05,Excellent,Active,emilykaiser@cline.com,1553.12,,
83475146,Chad,Sanford,Investment Banking,Analyst,2021-01-12,Needs Improvement,Resigned,jeffreygarcia@torres.info,5169.56,2023-03-10,Involuntary
70369021,Alicia,Miller,Investment Banking,Vice President,2022-08-23,Good,Active,brandonfloyd@joyce.net,3551.08,,
38289095,Alexandria,Salinas,Investment Banking,Associate,2022-12-24,Needs Improvement,Resigned,ipeters@nelson-rich.biz,3152.89,2023-12-19,Voluntary
21731884,Jeffrey,Cox,Finance,Finance Manager,2021-07-05,Good,On Leave,jacqueline87@henry.org,2822.02,,
45671821,Amanda,Rocha,Operations,Operations Analyst,2012-05-22,Satisfactory,Active,coxlisa@bailey.net,4412.72,,
17640985,Courtney,Robinson,Risk Management,Risk Manager,2017-05-03,Excellent,Resigned,cynthia54@ramirez.net,1420.69,2017-10-31,Voluntary
59418900,Amy,Griffith,Risk Management,Chief Risk Officer,2013-05-24,Excellent,On Leave,acoleman@howard.com,4729.26,,
95476353,Rebecca,Potter,HR,Recruiter,2012-03-24,Good,Active,smithphilip@graves.org,3195.97,,
88421292,Danielle,Harris,Risk Management,Risk Manager,2013-06-08,Satisfactory,Resigned,zlittle@white.com,4780.8,2015-09-27,Voluntary
28815198,Crystal,Palmer,Operations,Operations Manager,2022-12-12,Needs Improvement,Active,jason49@clark-ibarra.org,3723.62,,
83638350,Michael,Solomon,Compliance,Compliance Officer,2012-02-20,Excellent,Resigned,smithwayne@myers.info,1696.94,2014-02-07,Involuntary
93839679,Albert,Banks,Investment Banking,Analyst,2016-05-27,Excellent,Active,xstevens@robles-juarez.biz,4773.04,,
28889571,Jerry,Sanders,Operations,Process Improvement Lead,2011-01-19,Good,On Leave,wayne43@nelson.org,2718.31,,
95228167,Cynthia,Diaz,Risk Management,Risk Analyst,2016-03-11,Good,On Leave,johnstout@hill.biz,3338.43,,
31516662,Tonya,Stewart,Operations,Operations Manager,2015-07-02,Satisfactory,Active,jesus97@sanchez-griffin.com,4342.97,,
77720177,Aaron,Carroll,HR,HR Manager,2011-06-12,Good,On Leave,daniellepeck@baker.com,1793.3,,
50677580,Charles,Parker,HR,HR Manager,2016-04-19,Needs Improvement,Resigned,xsimon@hammond.org,5215.9,2017-01-09,Voluntary
40904528,Christopher,Gomez,Corporate Banking,Credit Analyst,2021-11-02,Good,Active,qandersen@clark.com,1689.23,,
53100993,Monica,Norman,HR,HR Assistant,2022-11-21,Satisfactory,Active,sherriholmes@stanley.info,5069.68,,
48335560,Brian,Lindsey,Retail Banking,Personal Banker,2016-10-26,Satisfactory,Resigned,xharris@porter.net,1371.16,2020-04-19,Voluntary
13693718,William,Diaz,Investment Banking,Analyst,2013-03-29,Satisfactory,On Leave,paulaguirre@park-bush.org,1288.45,,
79897082,Timothy,Adams,HR,HR Manager,2022-07-20,Good,On Leave,arivera@torres.net,4078.01,,
77017376,Michael,Mcgee,HR,HR Manager,2013-01-18,Excellent,On Leave,jonathon06@oneal.com,3347.13,,
90388972,Timothy,Martinez,Operations,Process Improvement Lead,2011-12-25,Good,On Leave,martinchristopher@thompson.net,3648.43,,
30848788,Joshua,Ramirez,HR,Recruiter,2017-06-29,Satisfactory,Resigned,ijones@adkins.com,4668.02,2019-01-28,Involuntary
23653818,Monique,Ortiz,Finance,Financial Analyst,2017-03-29,Satisfactory,Resigned,jclark@johnson.biz,4459.53,2017-12-08,Voluntary
6004767,Janet,Frye,Investment Banking,Vice President,2024-01-30,Excellent,Active,meganbrown@newman-gibbs.net,4245.84,,
24136433,Angela,Martin,Investment Banking,Associate,2021-02-28,Excellent,On Leave,dominguezanthony@maynard.net,4593.36,,
77700605,Jamie,Woods,Operations,Operations Analyst,2021-07-02,Excellent,Active,jason78@rodriguez.com,3479.42,,
58368206,Victoria,Rodriguez,IT,Systems Analyst,2021-02-22,Excellent,Resigned,griffinkevin@atkins.info,3144.78,2023-04-20,Involuntary
90277856,Alan,Miller,HR,HR Manager,2013-06-11,Good,On Leave,lsoto@miller.info,4777.93,,
29795192,Jacob,Henderson,Corporate Banking,Relationship Manager,2021-07-30,Satisfactory,Resigned,vdickson@coleman.com,4814.91,2024-06-30,Involuntary
64745626,Ebony,Sherman,Compliance,AML Analyst,2017-02-02,Satisfactory,Active,simpsoncrystal@anderson.com,4463.78,,
27121092,James,Johnson,Investment Banking,Associate,2021-01-03,Excellent,Resigned,jamesmorales@thompson-boyer.com,1734.54,2025-11-02,Voluntary
12313389,Christopher,Kerr,Corporate Banking,Relationship Manager,2020-05-10,Needs Improvement,Resigned,samantharice@bowers.com,4974.5,2021-08-18,Involuntary
10549766,Bridget,Campbell,Operations,Operations Manager,2020-11-28,Good,Active,brandywoods@martinez-smith.com,1968.83,,
32457032,Jennifer,Riley,Corporate Banking,Relationship Manager,2025-05-13,Excellent,On Leave,james41@casey.net,5250.32,,
17249645,Bryce,Frazier,Investment Banking,Analyst,2012-12-21,Excellent,Active,odomrenee@williams.com,1342.08,,
66526018,Brittany,Weiss,Investment Banking,Analyst,2024-04-06,Good,On Leave,harrisstacey@proctor.biz,3794.6,,
38919077,Christian,Smith,Retail Banking,Personal Banker,2018-06-05,Good,Active,ywright@norton.com,1269.36,,
13083373,Gina,Osborne,Investment Banking,Vice President,2021-07-25,Needs Improvement,Active,ggarcia@murray.biz,1007.57,,
89003916,Jacqueline,Jackson,IT,Systems Analyst,2014-08-31,Excellent,Active,ojones@hill.info,2029.99,,
46711472,William,Long,Corporate Banking,Relationship Manager,2016-10-16,Satisfactory,Active,dmitchell@miller-hudson.biz,3376.94,,
3584408,Vincent,Page,Operations,Operations Manager,2014-10-27,Satisfactory,Active,smithkelly@gomez-harris.com,4926.01,,
16962996,Nancy,Flores,Corporate Banking,Relationship Manager,2016-02-05,Good,Resigned,stewartdiana@patterson.com,1050.95,2019-04-28,Voluntary
64509709,Daniel,House,Corporate Banking,Account Manager,2020-02-07,Satisfactory,Active,uolson@smith-chapman.org,4303.69,,
6559915,Hannah,Gilbert,Retail Banking,Personal Banker,2024-12-09,Needs Improvement,Resigned,josemoyer@cruz.com,4726.75,2025-04-17,Voluntary
14944659,Debra,Wells,Retail Banking,Teller,2024-03-21,Good,Active,rmartin@thomas.net,3070.91,,
9961944,Jennifer,Sanchez,IT,IT Manager,2017-09-25,Good,Active,robert45@harvey.com,2373.97,,
61736245,Linda,Brown,Compliance,Compliance Officer,2012-11-12,Good,On Leave,johnjackson@hall.com,3197.5,,
74990016,Alice,Sullivan,Risk Management,Risk Manager,2018-03-14,Excellent,Active,brownlauren@wright-brown.info,3228.91,,
9790414,Matthew,Gregory,Finance,Accountant,2024-05-23,Needs Improvement,On Leave,sanchezjacqueline@williams-sullivan.com,4647.46,,
19090368,Rachael,Patterson,Compliance,Compliance Officer,2013-06-27,Satisfactory,Resigned,carterannette@hoffman-salazar.info,1281.91,2015-05-07,Involuntary
82601836,Sharon,Knight,Finance,Accountant,2024-11-01,Needs Improvement,Active,stephenrobinson@johnston-clark.com,5452.61,,
43827046,Aimee,Thompson,Compliance,Compliance Manager,2018-03-16,Needs Improvement,On Leave,gordonkrystal@macdonald.com,1185.81,,
25687460,Rachel,Rodriguez,HR,HR Manager,2020-09-29,Satisfactory,On Leave,vwright@steele.com,3327.31,,
16616332,James,Williams,IT,IT Manager,2010-10-13,Satisfactory,On Leave,medinamichael@calhoun.com,4479.43,,
2933634,Brittney,Trujillo,Compliance,Compliance Manager,2017-02-01,Excellent,On Leave,perezmary@martin-pierce.com,2074.18,,
76456473,Anthony,Edwards,Finance,Finance Manager,2017-05-11,Excellent,Active,whitepamela@williams.com,4493.9,,
53502254,Samuel,Baldwin,Risk Management,Risk Manager,2020-07-01,Excellent,On Leave,marybailey@kaiser-payne.com,3360.38,,
89336144,Michelle,Walters,IT,Systems Analyst,2015-08-01,Needs Improvement,On Leave,torresgabriel@thompson-garcia.com,1224.48,,
42632191,Lance,Williams,Finance,Finance Manager,2016-05-11,Excellent,On Leave,hayesjulia@carlson-brown.org,2658.08,,
98339907,John,Mendez,Corporate Banking,Relationship Manager,2017-09-09,Needs Improvement,On Leave,toddsharp@hobbs-lloyd.com,4519.78,,
11633709,Gabriella,Jones,IT,IT Support,2014-02-05,Needs Improvement,Resigned,bcasey@brown.info,3952.84,2017-07-14,Involuntary
